 שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
בני יהודה, 0004015, 0000867, 0000621, 0000002, 0000619, 0000178, 0000001, 0000003, 0000001, 0000000, 0000000, 0000050, 0000000, 0000000, 0000000, 0000000, 0000060, 0000024, 0000111, 0000020, 0000000, 0000000, 0000001, 0000000, 0000116, 0000000, 0000001, 0000033, 0000006, 0000002, 0000012
בני נצרים, 0001363, 0000187, 0000170, 0000000, 0000170, 0000001, 0000002, 0000000, 0000000, 0000000, 0000000, 0000044, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000118, 0000000, 0000001
בני עטרות, 0000448, 0000595, 0000497, 0000000, 0000497, 0000237, 0000004, 0000002, 0000000, 0000000, 0000004, 0000016, 0000000, 0000000, 0000000, 0000000, 0000038, 0000001, 0000059, 0000048, 0000000, 0000000, 0000000, 0000000, 0000073, 0000000, 0000001, 0000007, 0000004, 0000000, 0000003
בני עי"ש, 0001066, 0005747, 0004047, 0000075, 0003972, 0000268, 0000016, 0000000, 0000000, 0000000, 0000000, 0000288, 0000000, 0000000, 0000000, 0000000, 0000327, 0000981, 0001255, 0000032, 0000002, 0000000, 0000001, 0000001, 0000334, 0000003, 0000001, 0000076, 0000169, 0000004, 0000214
בני ציון, 0000418, 0000807, 0000663, 0000001, 0000662, 0000314, 0000001, 0000001, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000000, 0000040, 0000004, 0000077, 0000062, 0000001, 0000000, 0000000, 0000000, 0000127, 0000000, 0000000, 0000009, 0000002, 0000000, 0000004
בני ראם, 0000588, 0000801, 0000654, 0000003, 0000651, 0000007, 0000036, 0000000, 0000000, 0000000, 0000000, 0000179, 0000000, 0000000, 0000000, 0000000, 0000035, 0000003, 0000193, 0000001, 0000000, 0000000, 0000000, 0000000, 0000020, 0000000, 0000001, 0000000, 0000124, 0000000, 0000052
בניה, 0000685, 0000610, 0000529, 0000003, 0000526, 0000219, 0000000, 0000000, 0000000, 0000000, 0000000, 0000031, 0000000, 0000000, 0000000, 0000000, 0000033, 0000008, 0000082, 0000031, 0000000, 0000000, 0000001, 0000000, 0000107, 0000000, 0000000, 0000009, 0000005, 0000000, 0000000
בנימינה-גבעת עדה, 0009800, 0009165, 0007018, 0000047, 0006971, 0002671, 0000015, 0000013, 0000000, 0000000, 0000001, 0000353, 0000002, 0000000, 0000000, 0000000, 0000527, 0000089, 0001271, 0000645, 0000005, 0000001, 0000000, 0000001, 0001087, 0000000, 0000005, 0000089, 0000042, 0000004, 0000150
בסמ"ה, 0001326, 0005446, 0003622, 0000056, 0003566, 0000035, 0000001, 0003334, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000005, 0000041, 0000000, 0000019, 0000089, 0000001, 0000000, 0000002, 0000021, 0000005, 0000000, 0000002, 0000000, 0000001, 0000001, 0000006
בסמת טבעון, 0000944, 0004656, 0002393, 0000039, 0002354, 0000170, 0000009, 0001837, 0000001, 0000001, 0000001, 0000007, 0000001, 0000001, 0000000, 0000016, 0000150, 0000004, 0000025, 0000035, 0000000, 0000002, 0000012, 0000057, 0000008, 0000001, 0000002, 0000002, 0000001, 0000000, 0000011
בענה, 0000483, 0004832, 0003824, 0000011, 0003813, 0000012, 0000000, 0003670, 0000000, 0000001, 0000001, 0000003, 0000000, 0000000, 0000000, 0000000, 0000004, 0000026, 0000007, 0000047, 0000000, 0000000, 0000001, 0000001, 0000001, 0000000, 0000001, 0000000, 0000000, 0000000, 0000038
בצרה, 0000389, 0000691, 0000556, 0000003, 0000553, 0000301, 0000000, 0000000, 0000000, 0000000, 0000000, 0000027, 0000000, 0000000, 0000000, 0000000, 0000021, 0000002, 0000049, 0000044, 0000000, 0000000, 0000000, 0000000, 0000097, 0000000, 0000000, 0000008, 0000004, 0000000, 0000000
בצת, 0000589, 0000286, 0000212, 0000002, 0000210, 0000073, 0000000, 0000003, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000000, 0000015, 0000006, 0000034, 0000006, 0000000, 0000000, 0000000, 0000000, 0000041, 0000000, 0000000, 0000009, 0000001, 0000001, 0000001
בקוע, 0000864, 0000440, 0000355, 0000001, 0000354, 0000056, 0000002, 0000000, 0000000, 0000000, 0000000, 0000029, 0000000, 0000000, 0000000, 0000000, 0000049, 0000002, 0000157, 0000003, 0000001, 0000000, 0000000, 0000000, 0000017, 0000000, 0000000, 0000001, 0000017, 0000000, 0000020
בקעות, 0003612, 0000142, 0000115, 0000000, 0000115, 0000024, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000045, 0000000, 0000001, 0000000, 0000000, 0000000, 0000021, 0000000, 0000000, 0000005, 0000000, 0000000, 0000001
בר גיורא, 0000823, 0000395, 0000300, 0000005, 0000295, 0000050, 0000006, 0000001, 0000000, 0000000, 0000000, 0000026, 0000000, 0000000, 0000000, 0000000, 0000025, 0000003, 0000120, 0000017, 0000000, 0000000, 0000001, 0000000, 0000016, 0000001, 0000000, 0000002, 0000012, 0000000, 0000015
בר יוחאי, 0001191, 0000423, 0000337, 0000001, 0000336, 0000003, 0000019, 0000000, 0000000, 0000000, 0000000, 0000118, 0000000, 0000000, 0000000, 0000000, 0000010, 0000001, 0000086, 0000000, 0000000, 0000000, 0000001, 0000000, 0000001, 0000000, 0000001, 0000003, 0000056, 0000000, 0000037
ברוכין, 0003744, 0000230, 0000198, 0000000, 0000198, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000154, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000024, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000018, 0000000, 0000000
ברור חיל, 0000428, 0000674, 0000467, 0000000, 0000467, 0000269, 0000000, 0000001, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000000, 0000030, 0000002, 0000050, 0000043, 0000000, 0000000, 0000000, 0000001, 0000052, 0000000, 0000000, 0000010, 0000001, 0000000, 0000001
ברוש, 0002060, 0000248, 0000187, 0000002, 0000185, 0000032, 0000005, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000000, 0000018, 0000002, 0000081, 0000001, 0000000, 0000000, 0000000, 0000000, 0000012, 0000001, 0000000, 0000001, 0000006, 0000000, 0000016
ברכה, 0003710, 0000953, 0000818, 0000002, 0000816, 0000003, 0000001, 0000003, 0000000, 0000000, 0000000, 0000225, 0000000, 0000000, 0000000, 0000000, 0000003, 0000001, 0000476, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001, 0000097, 0000000, 0000004
ברכיה, 0000746, 0000696, 0000596, 0000005, 0000591, 0000006, 0000003, 0000000, 0000000, 0000000, 0000000, 0000044, 0000000, 0000000, 0000000, 0000000, 0000012, 0000000, 0000197, 0000000, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000001, 0000289, 0000001, 0000030
ברעם, 0000667, 0000483, 0000340, 0000000, 0000340, 0000142, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000009, 0000003, 0000007, 0000144, 0000000, 0000000, 0000000, 0000000, 0000026, 0000000, 0000000, 0000003, 0000000, 0000002, 0000001
ברק, 0000141, 0000311, 0000225, 0000001, 0000224, 0000075, 0000000, 0000000, 0000000, 0000000, 0000000, 0000019, 0000000, 0000000, 0000000, 0000000, 0000015, 0000006, 0000070, 0000001, 0000000, 0000000, 0000000, 0000000, 0000022, 0000000, 0000000, 0000009, 0000001, 0000000, 0000006
ברקאי, 0000617, 0000484, 0000330, 0000003, 0000327, 0000160, 0000001, 0000004, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000010, 0000004, 0000006, 0000112, 0000001, 0000000, 0000000, 0000001, 0000017, 0000000, 0000000, 0000009, 0000000, 0000000, 0000001
ברקן, 0003654, 0001180, 0000898, 0000002, 0000896, 0000069, 0000002, 0000002, 0000000, 0000000, 0000000, 0000179, 0000000, 0000000, 0000000, 0000001, 0000061, 0000035, 0000436, 0000006, 0000000, 0000000, 0000000, 0000000, 0000071, 0000000, 0000000, 0000021, 0000011, 0000001, 0000001
ברקת, 0002038, 0000971, 0000853, 0000000, 0000853, 0000005, 0000011, 0000000, 0000000, 0000000, 0000000, 0000141, 0000000, 0000000, 0000000, 0000000, 0000041, 0000001, 0000326, 0000001, 0000000, 0000000, 0000002, 0000000, 0000007, 0000000, 0000000, 0000003, 0000244, 0000000, 0000071
בת הדר, 0001323, 0000426, 0000322, 0000000, 0000322, 0000067, 0000003, 0000000, 0000000, 0000000, 0000000, 0000021, 0000000, 0000000, 0000000, 0000000, 0000036, 0000006, 0000109, 0000005, 0000000, 0000000, 0000000, 0000000, 0000057, 0000000, 0000000, 0000005, 0000006, 0000000, 0000007
בת חן, 0001361, 0000500, 0000403, 0000005, 0000398, 0000230, 0000002, 0000001, 0000000, 0000000, 0000001, 0000010, 0000000, 0000000, 0000000, 0000000, 0000022, 0000004, 0000054, 0000018, 0000000, 0000000, 0000000, 0000000, 0000051, 0000000, 0000000, 0000003, 0000002, 0000000, 0000000
בת חפר, 0001319, 0003573, 0002831, 0000013, 0002818, 0001130, 0000004, 0000003, 0000000, 0000000, 0000000, 0000154, 0000001, 0000000, 0000000, 0000000, 0000241, 0000046, 0000403, 0000153, 0000000, 0000000, 0000000, 0000000, 0000562, 0000000, 0000000, 0000070, 0000029, 0000002, 0000020
בת ים, 0006200, 0124035, 0069206, 0001002, 0068204, 0009942, 0000704, 0000123, 0000010, 0000005, 0000021, 0003513, 0000014, 0000001, 0000000, 0000032, 0007635, 0008785, 0022756, 0000966, 0000035, 0000014, 0000007, 0000014, 0006321, 0000028, 0000052, 0000823, 0001651, 0000060, 0004692
בת עין, 0003794, 0000703, 0000525, 0000001, 0000524, 0000002, 0000009, 0000000, 0000000, 0000000, 0000000, 0000185, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000074, 0000001, 0000001, 0000000, 0000003, 0000000, 0000004, 0000002, 0000002, 0000010, 0000212, 0000002, 0000014
בת שלמה, 0000033, 0000397, 0000323, 0000003, 0000320, 0000117, 0000001, 0000002, 0000000, 0000000, 0000000, 0000017, 0000001, 0000000, 0000000, 0000000, 0000026, 0000006, 0000049, 0000038, 0000000, 0000000, 0000000, 0000000, 0000046, 0000000, 0000001, 0000013, 0000001, 0000000, 0000002
ג'דיידה-מכר, 0001292, 0012533, 0008669, 0000061, 0008608, 0000195, 0000002, 0008166, 0000002, 0000000, 0000003, 0000011, 0000000, 0000002, 0000000, 0000007, 0000016, 0000007, 0000025, 0000054, 0000001, 0000001, 0000004, 0000044, 0000007, 0000003, 0000005, 0000004, 0000020, 0000003, 0000026
ג'ולס, 0000485, 0004233, 0002532, 0000035, 0002497, 0001036, 0000000, 0000140, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000332, 0000269, 0000352, 0000022, 0000001, 0000000, 0000000, 0000005, 0000126, 0000000, 0000004, 0000012, 0000062, 0000002, 0000131
ג'לג'וליה, 0000627, 0005410, 0004440, 0000016, 0004424, 0000239, 0000000, 0003983, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000000, 0000016, 0000002, 0000006, 0000155, 0000000, 0000000, 0000000, 0000012, 0000003, 0000000, 0000000, 0000000, 0000001, 0000001, 0000001
ג'נאביב (שבט), 0000976, 0000327, 0000125, 0000003, 0000122, 0000009, 0000000, 0000061, 0000000, 0000000, 0000000, 0000003, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000005, 0000002, 0000000, 0000000, 0000006, 0000004, 0000012, 0000000, 0000002, 0000000, 0000002, 0000007, 0000007
ג'סר א-זרקא, 0000541, 0007792, 0004526, 0000023, 0004503, 0000124, 0000407, 0003118, 0000001, 0000001, 0000002, 0000006, 0000000, 0000000, 0000000, 0000001, 0000006, 0000000, 0000052, 0000165, 0000000, 0000001, 0000003, 0000020, 0000196, 0000001, 0000002, 0000002, 0000003, 0000001, 0000391
ג'ש (גוש חלב), 0000487, 0002309, 0001374, 0000014, 0001360, 0000117, 0000001, 0000945, 0000000, 0000001, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000017, 0000157, 0000003, 0000076, 0000000, 0000000, 0000000, 0000009, 0000007, 0000001, 0000001, 0000003, 0000005, 0000000, 0000014
ג'ת, 0000628, 0007038, 0003708, 0000031, 0003677, 0000017, 0000000, 0003467, 0000000, 0000000, 0000000, 0000001, 0000001, 0000001, 0000000, 0000000, 0000007, 0000001, 0000005, 0000130, 0000000, 0000000, 0000002, 0000016, 0000003, 0000000, 0000001, 0000001, 0000001, 0000000, 0000023
גאולי תימן, 0000872, 0000273, 0000206, 0000000, 0000206, 0000019, 0000005, 0000016, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000000, 0000049, 0000002, 0000076, 0000002, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000001, 0000001, 0000001, 0000001, 0000004
גאולים, 0000379, 0000647, 0000528, 0000006, 0000522, 0000147, 0000007, 0000000, 0000000, 0000000, 0000000, 0000036, 0000000, 0000000, 0000000, 0000000, 0000089, 0000006, 0000131, 0000018, 0000000, 0000000, 0000000, 0000000, 0000056, 0000000, 0000001, 0000006, 0000005, 0000002, 0000018
גאליה, 0000853, 0000814, 0000640, 0000000, 0000640, 0000251, 0000000, 0000001, 0000000, 0000000, 0000000, 0000017, 0000000, 0000000, 0000000, 0000000, 0000061, 0000016, 0000102, 0000034, 0000000, 0000000, 0000000, 0000000, 0000136, 0000000, 0000001, 0000011, 0000006, 0000002, 0000002
גבולות, 0000352, 0000273, 0000165, 0000004, 0000161, 0000048, 0000000, 0000001, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000011, 0000009, 0000009, 0000059, 0000000, 0000000, 0000000, 0000000, 0000013, 0000000, 0000000, 0000006, 0000001, 0000000, 0000000
גבים, 0000424, 0000353, 0000269, 0000000, 0000269, 0000147, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000000, 0000017, 0000004, 0000014, 0000051, 0000000, 0000000, 0000000, 0000000, 0000024, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000
גבע בנימין, 0003763, 0002743, 0002182, 0000021, 0002161, 0000067, 0000030, 0000002, 0000001, 0000000, 0000000, 0000363, 0000000, 0000000, 0000000, 0000000, 0000150, 0000055, 0000869, 0000006, 0000000, 0000000, 0000001, 0000000, 0000075, 0000000, 0000001, 0000016, 0000276, 0000000, 0000249
גבע כרמל, 0000683, 0000648, 0000520, 0000004, 0000516, 0000238, 0000004, 0000000, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000000, 0000078, 0000005, 0000076, 0000019, 0000000, 0000000, 0000000, 0000000, 0000056, 0000000, 0000000, 0000010, 0000000, 0000000, 0000010
גבע, 0000086, 0000513, 0000389, 0000002, 0000387, 0000314, 0000000, 0000001, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000009, 0000030, 0000000, 0000000, 0000000, 0000000, 0000018, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000
גבעולים, 0002014, 0000258, 0000216, 0000004, 0000212, 0000005, 0000002, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000000, 0000024, 0000001, 0000148, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000001, 0000000, 0000014, 0000000, 0000008
גבעון החדשה, 0003644, 0001026, 0000758, 0000009, 0000749, 0000100, 0000000, 0000002, 0000001, 0000000, 0000000, 0000095, 0000001, 0000000, 0000000, 0000000, 0000083, 0000027, 0000272, 0000014, 0000001, 0000001, 0000000, 0000000, 0000108, 0000001, 0000001, 0000011, 0000012, 0000000, 0000019
גבעות בר, 0001344, 0000310, 0000255, 0000001, 0000254, 0000080, 0000000, 0000002, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000000, 0000000, 0000024, 0000004, 0000054, 0000011, 0000000, 0000000, 0000001, 0000000, 0000054, 0000000, 0000000, 0000005, 0000002, 0000000, 0000002
גבעת אבני, 0001293, 0001612, 0001203, 0000006, 0001197, 0000293, 0000005, 0000001, 0000000, 0000000, 0000000, 0000112, 0000000, 0000000, 0000000, 0000000, 0000123, 0000015, 0000353, 0000022, 0000005, 0000000, 0000000, 0000000, 0000200, 0000000, 0000001, 0000013, 0000021, 0000000, 0000033
גבעת אלה, 0001288, 0001582, 0001231, 0000002, 0001229, 0000648, 0000001, 0000003, 0000000, 0000000, 0000000, 0000021, 0000000, 0000000, 0000000, 0000000, 0000064, 0000007, 0000112, 0000141, 0000001, 0000000, 0000000, 0000000, 0000210, 0000000, 0000000, 0000014, 0000005, 0000000, 0000002
גבעת ברנר, 0000147, 0001802, 0001364, 0000006, 0001358, 0000774, 0000001, 0000003, 0000000, 0000000, 0000000, 0000037, 0000000, 0000000, 0000000, 0000000, 0000060, 0000010, 0000124, 0000135, 0000001, 0000000, 0000000, 0000000, 0000180, 0000000, 0000000, 0000027, 0000001, 0000000, 0000005
גבעת השלושה, 0000870, 0000449, 0000348, 0000001, 0000347, 0000220, 0000000, 0000000, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000000, 0000023, 0000005, 0000019, 0000031, 0000001, 0000000, 0000000, 0000000, 0000028, 0000000, 0000000, 0000006, 0000001, 0000000, 0000002
גבעת זאב, 0003730, 0010109, 0007854, 0000052, 0007802, 0000567, 0001051, 0000006, 0000001, 0000000, 0000002, 0000813, 0000001, 0000000, 0000000, 0000000, 0000472, 0000119, 0002644, 0000064, 0000004, 0000001, 0000000, 0000000, 0000498, 0000000, 0000002, 0000080, 0000599, 0000051, 0000827
גבעת ח"ן, 0000207, 0000299, 0000252, 0000003, 0000249, 0000161, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000011, 0000001, 0000018, 0000020, 0000001, 0000000, 0000000, 0000000, 0000027, 0000000, 0000000, 0000002, 0000001, 0000001, 0000000
גבעת חיים (איחוד), 0002018, 0000897, 0000691, 0000000, 0000691, 0000500, 0000002, 0000002, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000000, 0000010, 0000005, 0000005, 0000105, 0000000, 0000000, 0000000, 0000000, 0000051, 0000000, 0000001, 0000003, 0000000, 0000000, 0000000
גבעת חיים (מאוחד), 0000173, 0000868, 0000687, 0000005, 0000682, 0000479, 0000002, 0000001, 0000000, 0000000, 0000000, 0000016, 0000000, 0000000, 0000000, 0000000, 0000022, 0000002, 0000026, 0000080, 0000000, 0000000, 0000000, 0000000, 0000041, 0000000, 0000000, 0000007, 0000002, 0000002, 0000002
גבעת יואב, 0004021, 0000434, 0000345, 0000002, 0000343, 0000125, 0000000, 0000000, 0000000, 0000000, 0000000, 0000034, 0000000, 0000000, 0000000, 0000000, 0000029, 0000017, 0000052, 0000013, 0000002, 0000000, 0000000, 0000000, 0000051, 0000000, 0000000, 0000011, 0000003, 0000004, 0000002
גבעת יערים, 0000787, 0000874, 0000683, 0000002, 0000681, 0000137, 0000011, 0000004, 0000000, 0000000, 0000000, 0000062, 0000000, 0000000, 0000000, 0000000, 0000073, 0000007, 0000230, 0000060, 0000000, 0000000, 0000000, 0000000, 0000045, 0000000, 0000001, 0000006, 0000020, 0000001, 0000024
גבעת ישעיהו, 0000919, 0000446, 0000376, 0000002, 0000374, 0000136, 0000001, 0000001, 0000000, 0000000, 0000000, 0000019, 0000000, 0000000, 0000000, 0000000, 0000040, 0000004, 0000062, 0000048, 0000000, 0000000, 0000000, 0000000, 0000040, 0000000, 0000000, 0000008, 0000007, 0000000, 0000008
גבעת כ"ח, 0000802, 0000610, 0000461, 0000000, 0000461, 0000055, 0000008, 0000000, 0000000, 0000000, 0000000, 0000042, 0000000, 0000000, 0000000, 0000000, 0000088, 0000008, 0000153, 0000006, 0000000, 0000000, 0000000, 0000000, 0000050, 0000000, 0000001, 0000005, 0000024, 0000000, 0000021
גבעת ניל"י, 0000360, 0000412, 0000333, 0000000, 0000333, 0000067, 0000000, 0000002, 0000000, 0000000, 0000000, 0000012, 0000000, 0000000, 0000000, 0000000, 0000054, 0000000, 0000112, 0000027, 0000000, 0000000, 0000000, 0000000, 0000044, 0000000, 0000001, 0000012, 0000000, 0000001, 0000001
גבעת עוז, 0000703, 0000398, 0000269, 0000002, 0000267, 0000150, 0000001, 0000001, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000001, 0000010, 0000001, 0000016, 0000055, 0000000, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000
גבעת שמואל, 0000681, 0016616, 0013288, 0000053, 0013235, 0002156, 0000207, 0000009, 0000001, 0000000, 0000003, 0003818, 0000000, 0000000, 0000000, 0000000, 0000878, 0000182, 0003211, 0000362, 0000018, 0000000, 0000000, 0000003, 0001283, 0000000, 0000000, 0000094, 0000503, 0000007, 0000500
גבעת שפירא, 0001077, 0000210, 0000174, 0000001, 0000173, 0000082, 0000000, 0000004, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000008, 0000002, 0000018, 0000014, 0000000, 0000000, 0000000, 0000000, 0000041, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000
גבעתי, 0000793, 0000592, 0000446, 0000004, 0000442, 0000073, 0000000, 0000000, 0000000, 0000000, 0000002, 0000014, 0000000, 0000000, 0000000, 0000000, 0000099, 0000011, 0000142, 0000005, 0000000, 0000000, 0000000, 0000000, 0000044, 0000000, 0000001, 0000013, 0000014, 0000000, 0000024
גבעתיים, 0006300, 0045863, 0033727, 0000241, 0033486, 0013526, 0000193, 0000101, 0000001, 0000001, 0000008, 0001520, 0000003, 0000000, 0000000, 0000000, 0002595, 0000443, 0005636, 0003219, 0000012, 0000002, 0000049, 0000003, 0005135, 0000003, 0000006, 0000319, 0000268, 0000026, 0000417
גברעם, 0000342, 0000296, 0000211, 0000000, 0000211, 0000115, 0000001, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000012, 0000008, 0000019, 0000013, 0000002, 0000000, 0000000, 0000000, 0000032, 0000000, 0000000, 0000004, 0000000, 0000001, 0000001
גבת, 0000133, 0000644, 0000540, 0000005, 0000535, 0000389, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000001, 0000000, 0000000, 0000016, 0000002, 0000015, 0000052, 0000000, 0000000, 0000000, 0000000, 0000045, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000
גדות, 0000035, 0000355, 0000243, 0000000, 0000243, 0000153, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000009, 0000003, 0000006, 0000038, 0000000, 0000000, 0000000, 0000000, 0000017, 0000000, 0000000, 0000010, 0000000, 0000001, 0000000
גדיש, 0000145, 0000259, 0000197, 0000005, 0000192, 0000007, 0000002, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000000, 0000018, 0000000, 0000128, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000001, 0000000, 0000000, 0000002, 0000000, 0000022
גדעונה, 0000442, 0000254, 0000190, 0000003, 0000187, 0000033, 0000006, 0000000, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000000, 0000011, 0000005, 0000082, 0000004, 0000000, 0000000, 0000000, 0000000, 0000013, 0000000, 0000001, 0000008, 0000003, 0000000, 0000010
גדרה, 0002550, 0015469, 0011879, 0000105, 0011774, 0002793, 0000083, 0000008, 0000000, 0000001, 0000000, 0000875, 0000001, 0000000, 0000000, 0000000, 0001225, 0000306, 0003574, 0000372, 0000007, 0000003, 0000005, 0000001, 0001607, 0000001, 0000008, 0000122, 0000430, 0000007, 0000345
גונן, 0000852, 0000342, 0000244, 0000000, 0000244, 0000131, 0000000, 0000001, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000000, 0000000, 0000008, 0000001, 0000008, 0000043, 0000000, 0000000, 0000000, 0000000, 0000023, 0000000, 0000000, 0000012, 0000000, 0000000, 0000002
גורן, 0000755, 0000351, 0000264, 0000004, 0000260, 0000028, 0000006, 0000000, 0000000, 0000000, 0000000, 0000012, 0000000, 0000000, 0000000, 0000000, 0000030, 0000001, 0000118, 0000001, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000001, 0000002, 0000000, 0000053
גורנות הגליל, 0001219, 0000159, 0000107, 0000000, 0000107, 0000022, 0000004, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000014, 0000002, 0000035, 0000002, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000002, 0000001, 0000000, 0000015
גזית, 0000457, 0000584, 0000436, 0000000, 0000436, 0000204, 0000000, 0000002, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000014, 0000005, 0000011, 0000160, 0000000, 0000000, 0000000, 0000000, 0000031, 0000001, 0000000, 0000005, 0000001, 0000000, 0000000
גזר, 0000370, 0000356, 0000191, 0000000, 0000191, 0000097, 0000000, 0000002, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000007, 0000001, 0000016, 0000049, 0000000, 0000000, 0000000, 0000000, 0000012, 0000000, 0000000, 0000002, 0000000, 0000001, 0000001
גיאה, 0000706, 0000523, 0000422, 0000003, 0000419, 0000167, 0000001, 0000001, 0000000, 0000000, 0000000, 0000025, 0000000, 0000000, 0000000, 0000000, 0000047, 0000001, 0000084, 0000010, 0000000, 0000000, 0000000, 0000000, 0000072, 0000000, 0000000, 0000005, 0000003, 0000001, 0000002
גיבתון, 0000196, 0000228, 0000193, 0000000, 0000193, 0000103, 0000002, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000010, 0000001, 0000018, 0000020, 0000000, 0000000, 0000000, 0000000, 0000028, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000
גיזו, 0001043, 0000127, 0000102, 0000000, 0000102, 0000025, 0000001, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000039, 0000013, 0000000, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002
גילון, 0001204, 0000860, 0000672, 0000001, 0000671, 0000323, 0000000, 0000001, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000000, 0000048, 0000008, 0000076, 0000048, 0000000, 0000000, 0000000, 0000000, 0000141, 0000000, 0000000, 0000005, 0000001, 0000000, 0000000
גילת, 0000736, 0000878, 0000671, 0000001, 0000670, 0000078, 0000001, 0000000, 0000000, 0000000, 0000000, 0000044, 0000000, 0000000, 0000000, 0000000, 0000058, 0000015, 0000360, 0000003, 0000001, 0000000, 0000001, 0000000, 0000046, 0000000, 0000001, 0000007, 0000042, 0000000, 0000013
