 שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
חדרה, 006500, 0004.0, 000700, 000362, 000006, 000356, 000029, 000010, 000000, 000000, 000000, 000000, 000013, 000000, 000000, 000000, 000000, 000060, 000046, 000140, 000004, 000000, 000000, 000000, 000000, 000025, 000001, 000000, 000002, 000013, 000001, 000012
חדרה, 006500, 0005.0, 000702, 000503, 000005, 000498, 000074, 000043, 000000, 000000, 000000, 000000, 000027, 000000, 000000, 000000, 000000, 000092, 000007, 000146, 000008, 000000, 000000, 000000, 000000, 000032, 000000, 000000, 000002, 000007, 000000, 000060
חדרה, 006500, 0006.0, 000607, 000492, 000001, 000491, 000025, 000073, 000001, 000000, 000000, 000000, 000030, 000000, 000000, 000000, 000000, 000060, 000005, 000126, 000003, 000000, 000000, 000000, 000000, 000014, 000000, 000001, 000007, 000024, 000000, 000122
חדרה, 006500, 0007.0, 000632, 000442, 000008, 000434, 000086, 000010, 000001, 000000, 000000, 000000, 000022, 000000, 000000, 000000, 000000, 000065, 000024, 000120, 000006, 000000, 000000, 000000, 000000, 000037, 000000, 000000, 000008, 000016, 000000, 000039
חדרה, 006500, 0008.0, 000606, 000353, 000006, 000347, 000075, 000005, 000000, 000000, 000000, 000000, 000027, 000000, 000000, 000000, 000000, 000030, 000025, 000087, 000008, 000000, 000000, 000000, 000000, 000026, 000000, 000001, 000004, 000008, 000000, 000051
חדרה, 006500, 0009.0, 000526, 000282, 000002, 000280, 000033, 000002, 000000, 000000, 000001, 000000, 000014, 000000, 000000, 000000, 000000, 000049, 000034, 000110, 000002, 000000, 000000, 000000, 000000, 000019, 000000, 000000, 000001, 000003, 000000, 000012
חדרה, 006500, 0010.0, 000709, 000535, 000005, 000530, 000124, 000003, 000000, 000000, 000000, 000000, 000054, 000000, 000000, 000000, 000000, 000080, 000015, 000141, 000007, 000000, 000000, 000000, 000000, 000055, 000000, 000000, 000004, 000005, 000042, 000000
חדרה, 006500, 0011.0, 000683, 000507, 000002, 000505, 000098, 000029, 000000, 000000, 000000, 000000, 000026, 000000, 000000, 000000, 000000, 000054, 000008, 000135, 000013, 000000, 000000, 000000, 000000, 000063, 000000, 000000, 000015, 000017, 000000, 000047
חדרה, 006500, 0012.0, 000626, 000470, 000003, 000467, 000088, 000003, 000000, 000000, 000000, 000000, 000033, 000000, 000000, 000000, 000000, 000054, 000027, 000169, 000007, 000000, 000000, 000000, 000000, 000056, 000000, 000000, 000007, 000004, 000000, 000019
חדרה, 006500, 0013.0, 000689, 000494, 000000, 000494, 000097, 000002, 000015, 000000, 000000, 000000, 000035, 000000, 000000, 000000, 000000, 000070, 000005, 000173, 000010, 000000, 000000, 000000, 000000, 000058, 000000, 000000, 000003, 000007, 000001, 000018
חדרה, 006500, 0014.0, 000454, 000326, 000001, 000325, 000069, 000000, 000001, 000000, 000000, 000000, 000013, 000000, 000000, 000000, 000000, 000065, 000012, 000098, 000005, 000000, 000000, 000000, 000000, 000038, 000000, 000000, 000002, 000003, 000000, 000019
חדרה, 006500, 0015.0, 000637, 000367, 000003, 000364, 000033, 000002, 000000, 000000, 000000, 000000, 000021, 000000, 000000, 000000, 000000, 000070, 000018, 000158, 000004, 000000, 000000, 000000, 000000, 000020, 000001, 000000, 000004, 000001, 000000, 000032
חדרה, 006500, 0016.0, 000710, 000487, 000002, 000485, 000075, 000001, 000001, 000000, 000000, 000000, 000022, 000000, 000000, 000000, 000000, 000097, 000013, 000167, 000008, 000000, 000000, 000000, 000000, 000054, 000001, 000001, 000007, 000012, 000000, 000026
חדרה, 006500, 0017.0, 000787, 000577, 000003, 000574, 000072, 000003, 000003, 000000, 000000, 000000, 000031, 000000, 000000, 000000, 000000, 000107, 000008, 000241, 000004, 000000, 000000, 000000, 000000, 000053, 000000, 000001, 000009, 000012, 000000, 000030
חדרה, 006500, 0018.0, 000591, 000420, 000005, 000415, 000056, 000002, 000013, 000000, 000000, 000003, 000015, 000000, 000000, 000000, 000000, 000089, 000011, 000165, 000009, 000000, 000000, 000000, 000000, 000033, 000000, 000000, 000002, 000002, 000000, 000015
חדרה, 006500, 0019.0, 000576, 000271, 000001, 000270, 000023, 000001, 000009, 000000, 000000, 000000, 000009, 000000, 000000, 000000, 000000, 000045, 000030, 000111, 000006, 000000, 000000, 000000, 000000, 000014, 000001, 000000, 000001, 000000, 000000, 000020
חדרה, 006500, 0020.0, 000506, 000247, 000009, 000238, 000012, 000007, 000000, 000000, 000000, 000000, 000012, 000000, 000001, 000000, 000000, 000058, 000018, 000087, 000001, 000000, 000000, 000000, 000001, 000010, 000002, 000002, 000002, 000002, 000000, 000023
חדרה, 006500, 0021.0, 000762, 000423, 000013, 000410, 000013, 000004, 000002, 000000, 000000, 000000, 000012, 000000, 000001, 000000, 000000, 000053, 000064, 000178, 000004, 000000, 000000, 000000, 000001, 000032, 000000, 000000, 000006, 000004, 000001, 000035
חדרה, 006500, 0022.0, 000504, 000211, 000000, 000211, 000011, 000000, 000001, 000000, 000000, 000000, 000007, 000000, 000000, 000000, 000000, 000026, 000035, 000085, 000001, 000000, 000000, 000002, 000001, 000016, 000000, 000000, 000004, 000001, 000000, 000021
חדרה, 006500, 0023.0, 000652, 000391, 000006, 000385, 000066, 000001, 000000, 000000, 000000, 000001, 000020, 000000, 000000, 000000, 000000, 000040, 000061, 000132, 000010, 000000, 000000, 000000, 000001, 000038, 000000, 000000, 000004, 000002, 000000, 000009
חדרה, 006500, 0024.0, 000651, 000459, 000001, 000458, 000030, 000006, 000000, 000000, 000000, 000000, 000033, 000000, 000000, 000000, 000000, 000108, 000015, 000171, 000000, 000000, 000000, 000000, 000000, 000016, 000000, 000000, 000002, 000032, 000000, 000045
חדרה, 006500, 0025.0, 000791, 000548, 000005, 000543, 000068, 000003, 000004, 000000, 000000, 000000, 000011, 000000, 000000, 000000, 000000, 000156, 000014, 000160, 000010, 000000, 000000, 000000, 000000, 000040, 000000, 000000, 000013, 000002, 000000, 000062
חדרה, 006500, 0026.0, 000672, 000454, 000004, 000450, 000031, 000008, 000000, 000000, 000000, 000000, 000028, 000000, 000000, 000000, 000000, 000123, 000023, 000151, 000000, 000000, 000000, 000000, 000000, 000014, 000000, 000001, 000001, 000007, 000000, 000063
חדרה, 006500, 0027.0, 000548, 000308, 000003, 000305, 000013, 000005, 000000, 000000, 000000, 000000, 000012, 000000, 000000, 000000, 000000, 000071, 000027, 000119, 000004, 000000, 000000, 000000, 000000, 000013, 000000, 000001, 000001, 000007, 000000, 000032
חדרה, 006500, 0028.0, 000587, 000319, 000003, 000316, 000013, 000002, 000000, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000000, 000076, 000019, 000117, 000004, 000000, 000000, 000000, 000000, 000005, 000000, 000001, 000003, 000004, 000000, 000068
חדרה, 006500, 0029.0, 000693, 000400, 000006, 000394, 000019, 000005, 000000, 000000, 000000, 000000, 000016, 000000, 000000, 000000, 000000, 000094, 000016, 000167, 000002, 000000, 000001, 000000, 000000, 000009, 000000, 000001, 000006, 000006, 000001, 000051
חדרה, 006500, 0030.0, 000749, 000500, 000005, 000495, 000028, 000004, 000000, 000000, 000000, 000000, 000021, 000000, 000000, 000000, 000000, 000121, 000012, 000186, 000003, 000000, 000000, 000000, 000000, 000034, 000000, 000000, 000006, 000013, 000000, 000067
חדרה, 006500, 0031.0, 000473, 000287, 000008, 000279, 000020, 000002, 000000, 000000, 000000, 000000, 000005, 000000, 000000, 000000, 000000, 000078, 000016, 000101, 000009, 000000, 000000, 000000, 000000, 000009, 000000, 000000, 000002, 000006, 000001, 000030
חדרה, 006500, 0032.0, 000737, 000579, 000004, 000575, 000138, 000006, 000000, 000000, 000000, 000000, 000062, 000000, 000000, 000000, 000000, 000083, 000010, 000149, 000015, 000000, 000001, 000000, 000000, 000061, 000000, 000000, 000003, 000011, 000001, 000035
חדרה, 006500, 0033.0, 000426, 000298, 000004, 000294, 000006, 000003, 000001, 000000, 000000, 000000, 000010, 000000, 000000, 000000, 000000, 000081, 000009, 000110, 000002, 000001, 000000, 000000, 000000, 000003, 000000, 000000, 000001, 000010, 000000, 000057
חדרה, 006500, 0034.0, 000559, 000465, 000004, 000461, 000168, 000002, 000000, 000000, 000000, 000000, 000013, 000000, 000000, 000000, 000000, 000054, 000013, 000091, 000045, 000000, 000000, 000000, 000000, 000056, 000000, 000000, 000010, 000005, 000000, 000004
חדרה, 006500, 0035.0, 000702, 000452, 000010, 000442, 000019, 000003, 000000, 000000, 000000, 000000, 000014, 000000, 000000, 000000, 000001, 000138, 000014, 000174, 000004, 000000, 000000, 000000, 000001, 000009, 000000, 000001, 000002, 000012, 000000, 000050
חדרה, 006500, 0036.0, 000411, 000259, 000001, 000258, 000042, 000001, 000000, 000000, 000000, 000000, 000015, 000000, 000000, 000000, 000000, 000035, 000046, 000087, 000005, 000000, 000000, 000000, 000000, 000022, 000000, 000000, 000000, 000002, 000000, 000003
חדרה, 006500, 0037.0, 000538, 000366, 000006, 000360, 000065, 000002, 000000, 000000, 000000, 000000, 000022, 000000, 000000, 000000, 000000, 000068, 000017, 000116, 000006, 000000, 000000, 000000, 000000, 000035, 000000, 000000, 000005, 000004, 000002, 000018
חדרה, 006500, 0038.0, 000669, 000431, 000006, 000425, 000077, 000016, 000000, 000000, 000000, 000000, 000024, 000000, 000000, 000000, 000000, 000057, 000045, 000138, 000010, 000000, 000000, 000000, 000000, 000031, 000000, 000000, 000003, 000003, 000000, 000021
חדרה, 006500, 0039.0, 000566, 000327, 000004, 000323, 000058, 000003, 000000, 000000, 000000, 000000, 000017, 000000, 000000, 000000, 000000, 000045, 000018, 000120, 000003, 000001, 000000, 000000, 000000, 000022, 000000, 000000, 000005, 000012, 000003, 000016
חדרה, 006500, 0040.0, 000748, 000515, 000008, 000507, 000114, 000002, 000003, 000000, 000000, 000000, 000033, 000000, 000000, 000000, 000000, 000054, 000055, 000146, 000005, 000000, 000000, 000000, 000000, 000059, 000000, 000000, 000002, 000007, 000000, 000027
חדרה, 006500, 0041.0, 000631, 000374, 000003, 000371, 000048, 000003, 000001, 000000, 000000, 000000, 000012, 000000, 000000, 000000, 000000, 000066, 000026, 000142, 000003, 000001, 000000, 000000, 000000, 000033, 000000, 000000, 000005, 000004, 000000, 000027
חדרה, 006500, 0042.0, 000601, 000384, 000002, 000382, 000089, 000008, 000000, 000000, 000000, 000000, 000023, 000000, 000000, 000000, 000000, 000045, 000024, 000125, 000006, 000000, 000000, 000000, 000000, 000032, 000000, 000000, 000003, 000009, 000000, 000018
חדרה, 006500, 0043.0, 000628, 000355, 000004, 000351, 000076, 000012, 000000, 000000, 000000, 000000, 000011, 000000, 000000, 000000, 000000, 000045, 000025, 000101, 000011, 000001, 000000, 000000, 000000, 000040, 000000, 000001, 000004, 000006, 000001, 000017
חדרה, 006500, 0044.0, 000657, 000366, 000004, 000362, 000061, 000003, 000000, 000000, 000000, 000000, 000018, 000000, 000000, 000000, 000000, 000057, 000035, 000118, 000003, 000000, 000000, 000000, 000000, 000045, 000000, 000000, 000004, 000001, 000000, 000017
חדרה, 006500, 0045.0, 000739, 000451, 000013, 000438, 000052, 000002, 000000, 000000, 000000, 000000, 000010, 000000, 000000, 000000, 000000, 000041, 000145, 000115, 000005, 000000, 000000, 000000, 000000, 000053, 000000, 000000, 000003, 000005, 000000, 000007
חדרה, 006500, 0046.0, 000693, 000419, 000011, 000408, 000062, 000004, 000000, 000000, 000000, 000000, 000019, 000000, 000000, 000000, 000000, 000075, 000028, 000152, 000004, 000000, 000000, 000000, 000000, 000029, 000000, 000000, 000003, 000005, 000000, 000027
חדרה, 006500, 0047.0, 000691, 000388, 000011, 000377, 000077, 000003, 000000, 000000, 000000, 000000, 000019, 000000, 000000, 000000, 000000, 000042, 000030, 000127, 000007, 000002, 000000, 000000, 000000, 000040, 000000, 000001, 000006, 000008, 000000, 000015
חדרה, 006500, 0048.0, 000633, 000353, 000003, 000350, 000057, 000003, 000000, 000000, 000000, 000000, 000022, 000000, 000000, 000000, 000000, 000046, 000031, 000116, 000003, 000000, 000000, 000000, 000000, 000039, 000000, 000000, 000004, 000005, 000000, 000024
חדרה, 006500, 0049.0, 000659, 000435, 000007, 000428, 000084, 000006, 000000, 000000, 000000, 000000, 000014, 000000, 000000, 000000, 000000, 000059, 000035, 000151, 000008, 000000, 000000, 000000, 000000, 000052, 000000, 000000, 000004, 000005, 000000, 000010
חדרה, 006500, 0050.0, 000726, 000440, 000007, 000433, 000089, 000008, 000002, 000000, 000000, 000000, 000019, 000000, 000000, 000000, 000000, 000048, 000036, 000138, 000010, 000000, 000001, 000000, 000000, 000046, 000000, 000000, 000005, 000009, 000000, 000022
חדרה, 006500, 0051.0, 000563, 000341, 000031, 000310, 000041, 000063, 000007, 000000, 000000, 000000, 000015, 000000, 000000, 000000, 000000, 000038, 000001, 000071, 000004, 000000, 000000, 000000, 000000, 000015, 000000, 000000, 000002, 000005, 000000, 000048
חדרה, 006500, 0052.0, 000604, 000370, 000007, 000363, 000040, 000031, 000000, 000000, 000000, 000000, 000016, 000000, 000000, 000000, 000000, 000058, 000010, 000107, 000007, 000000, 000000, 000000, 000000, 000027, 000000, 000000, 000005, 000007, 000000, 000055
חדרה, 006500, 0053.0, 000526, 000334, 000005, 000329, 000064, 000005, 000001, 000000, 000000, 000000, 000012, 000000, 000000, 000000, 000000, 000047, 000014, 000114, 000009, 000000, 000000, 000000, 000000, 000048, 000000, 000000, 000002, 000003, 000000, 000010
חדרה, 006500, 0054.0, 000696, 000545, 000003, 000542, 000133, 000007, 000001, 000000, 000000, 000000, 000025, 000000, 000000, 000000, 000000, 000089, 000014, 000165, 000007, 000000, 000000, 000000, 000000, 000080, 000001, 000000, 000006, 000002, 000000, 000012
חדרה, 006500, 0055.0, 000742, 000414, 000009, 000405, 000034, 000026, 000000, 000000, 000000, 000000, 000022, 000000, 000000, 000000, 000000, 000054, 000020, 000145, 000004, 000000, 000000, 000000, 000000, 000021, 000000, 000000, 000002, 000007, 000000, 000070
חדרה, 006500, 0056.0, 000682, 000434, 000006, 000428, 000074, 000007, 000001, 000000, 000000, 000000, 000009, 000000, 000001, 000000, 000001, 000044, 000109, 000100, 000010, 000001, 000000, 000000, 000001, 000049, 000000, 000000, 000004, 000006, 000000, 000011
חדרה, 006500, 0057.0, 000615, 000383, 000003, 000380, 000070, 000009, 000000, 000000, 000000, 000002, 000018, 000000, 000000, 000000, 000000, 000059, 000017, 000122, 000008, 000000, 000000, 000001, 000000, 000038, 000001, 000000, 000001, 000006, 000000, 000028
חדרה, 006500, 0058.0, 000694, 000355, 000005, 000350, 000016, 000014, 000003, 000000, 000001, 000000, 000006, 000000, 000000, 000000, 000000, 000080, 000047, 000098, 000003, 000000, 000000, 000000, 000000, 000005, 000000, 000001, 000001, 000010, 000004, 000061
חדרה, 006500, 0059.0, 000794, 000513, 000003, 000510, 000065, 000004, 000000, 000000, 000000, 000000, 000023, 000000, 000000, 000000, 000000, 000049, 000127, 000148, 000007, 000000, 000000, 000000, 000000, 000061, 000000, 000000, 000008, 000004, 000000, 000014
חדרה, 006500, 0060.0, 000746, 000490, 000004, 000486, 000086, 000004, 000000, 000000, 000000, 000000, 000028, 000000, 000000, 000000, 000000, 000070, 000083, 000132, 000015, 000000, 000000, 000000, 000000, 000056, 000000, 000000, 000004, 000002, 000000, 000006
חדרה, 006500, 0061.0, 000394, 000293, 000000, 000293, 000077, 000008, 000000, 000000, 000000, 000000, 000016, 000000, 000000, 000000, 000000, 000033, 000000, 000090, 000005, 000000, 000000, 000000, 000000, 000041, 000000, 000000, 000005, 000004, 000001, 000013
חדרה, 006500, 0062.0, 000768, 000462, 000006, 000456, 000054, 000004, 000000, 000000, 000000, 000001, 000022, 000000, 000000, 000000, 000000, 000091, 000021, 000159, 000010, 000000, 000001, 000000, 000000, 000042, 000000, 000000, 000006, 000004, 000001, 000040
חדרה, 006500, 0063.0, 000666, 000468, 000003, 000465, 000142, 000003, 000004, 000000, 000000, 000000, 000008, 000000, 000000, 000000, 000000, 000062, 000009, 000138, 000011, 000000, 000000, 000000, 000000, 000058, 000000, 000000, 000006, 000003, 000002, 000019
חדרה, 006500, 0064.0, 000714, 000514, 000002, 000512, 000105, 000003, 000000, 000000, 000000, 000000, 000030, 000001, 000000, 000000, 000000, 000071, 000009, 000195, 000015, 000001, 000000, 000000, 000000, 000041, 000000, 000000, 000008, 000008, 000000, 000025
חדרה, 006500, 0065.0, 000715, 000497, 000002, 000495, 000044, 000005, 000000, 000000, 000000, 000001, 000037, 000000, 000000, 000000, 000000, 000067, 000012, 000232, 000014, 000000, 000000, 000000, 000000, 000035, 000000, 000000, 000004, 000010, 000000, 000034
חדרה, 006500, 0066.0, 000674, 000424, 000002, 000422, 000088, 000005, 000000, 000000, 000000, 000000, 000029, 000000, 000000, 000000, 000000, 000068, 000008, 000134, 000020, 000000, 000000, 000000, 000000, 000042, 000000, 000000, 000005, 000001, 000000, 000022
חדרה, 006500, 0067.0, 000473, 000317, 000007, 000310, 000042, 000001, 000000, 000000, 000000, 000000, 000018, 000000, 000000, 000000, 000000, 000039, 000056, 000096, 000003, 000001, 000000, 000000, 000001, 000031, 000000, 000000, 000007, 000001, 000000, 000014
חדרה, 006500, 0068.0, 000546, 000341, 000005, 000336, 000037, 000003, 000000, 000000, 000000, 000000, 000008, 000000, 000000, 000000, 000000, 000045, 000033, 000129, 000006, 000000, 000000, 000000, 000000, 000024, 000000, 000000, 000007, 000000, 000000, 000044
חדרה, 006500, 0069.0, 000783, 000521, 000005, 000516, 000070, 000001, 000000, 000000, 000000, 000000, 000014, 000000, 000000, 000000, 000000, 000069, 000075, 000193, 000007, 000000, 000000, 000000, 000000, 000056, 000000, 000000, 000007, 000001, 000000, 000023
חדרה, 006500, 0070.0, 000705, 000405, 000007, 000398, 000026, 000002, 000000, 000000, 000000, 000000, 000020, 000000, 000000, 000000, 000000, 000040, 000094, 000150, 000011, 000000, 000000, 000000, 000000, 000042, 000000, 000001, 000005, 000000, 000001, 000006
חדרה, 006500, 0071.0, 000724, 000393, 000007, 000386, 000031, 000005, 000000, 000000, 000000, 000000, 000023, 000000, 000000, 000000, 000000, 000035, 000077, 000158, 000005, 000000, 000000, 000000, 000000, 000029, 000000, 000000, 000004, 000009, 000000, 000010
חדרה, 006500, 0072.0, 000730, 000472, 000005, 000467, 000078, 000003, 000000, 000000, 000000, 000000, 000024, 000000, 000000, 000000, 000000, 000046, 000080, 000170, 000006, 000000, 000001, 000002, 000000, 000035, 000000, 000000, 000003, 000005, 000000, 000014
חדרה, 006500, 0073.0, 000575, 000312, 000007, 000305, 000027, 000001, 000000, 000000, 000000, 000000, 000011, 000000, 000000, 000000, 000000, 000059, 000082, 000079, 000005, 000001, 000000, 000000, 000000, 000028, 000000, 000000, 000006, 000002, 000000, 000004
חדרה, 006500, 0074.0, 000613, 000344, 000006, 000338, 000026, 000005, 000000, 000000, 000000, 000001, 000025, 000000, 000000, 000000, 000000, 000033, 000076, 000111, 000005, 000000, 000000, 000000, 000000, 000024, 000000, 000000, 000009, 000005, 000000, 000018
חדרה, 006500, 0075.0, 000616, 000403, 000010, 000393, 000038, 000001, 000000, 000000, 000000, 000000, 000019, 000000, 000000, 000000, 000000, 000045, 000077, 000139, 000011, 000000, 000000, 000000, 000000, 000038, 000000, 000000, 000005, 000001, 000000, 000019
חדרה, 006500, 0076.0, 000737, 000425, 000004, 000421, 000036, 000005, 000000, 000000, 000000, 000000, 000016, 000000, 000000, 000000, 000000, 000048, 000073, 000171, 000004, 000000, 000000, 000000, 000000, 000038, 000000, 000000, 000009, 000005, 000000, 000016
חדרה, 006500, 0077.0, 000588, 000374, 000006, 000368, 000036, 000004, 000000, 000000, 000000, 000000, 000012, 000000, 000000, 000000, 000000, 000053, 000054, 000148, 000006, 000000, 000000, 000000, 000000, 000033, 000000, 000001, 000003, 000005, 000000, 000013
חדרה, 006500, 0078.0, 000468, 000299, 000008, 000291, 000044, 000001, 000001, 000000, 000000, 000000, 000010, 000000, 000000, 000000, 000000, 000039, 000054, 000100, 000004, 000000, 000000, 000000, 000000, 000024, 000000, 000000, 000005, 000006, 000000, 000003
חדרה, 006500, 0079.0, 000699, 000517, 000002, 000515, 000072, 000006, 000000, 000000, 000000, 000000, 000031, 000000, 000000, 000000, 000000, 000084, 000015, 000197, 000012, 000000, 000000, 000000, 000000, 000061, 000000, 000000, 000009, 000004, 000000, 000024
חדרה, 006500, 0080.0, 000434, 000328, 000000, 000328, 000057, 000003, 000000, 000000, 000000, 000000, 000023, 000000, 000000, 000000, 000000, 000052, 000002, 000124, 000006, 000000, 000000, 000000, 000000, 000028, 000000, 000000, 000003, 000006, 000000, 000024
חדרה, 006500, 0081.0, 000489, 000364, 000003, 000361, 000072, 000001, 000000, 000000, 000000, 000001, 000018, 000000, 000000, 000000, 000000, 000072, 000005, 000110, 000007, 000000, 000000, 000000, 000000, 000034, 000000, 000001, 000011, 000005, 000001, 000023
חדרה, 006500, 0082.0, 000544, 000372, 000002, 000370, 000044, 000003, 000000, 000000, 000000, 000000, 000011, 000000, 000000, 000000, 000000, 000100, 000011, 000123, 000013, 000000, 000000, 000000, 000000, 000019, 000000, 000000, 000003, 000007, 000000, 000036
חדרה, 006500, 0084.0, 000568, 000422, 000004, 000418, 000102, 000003, 000000, 000000, 000000, 000000, 000018, 000000, 000000, 000000, 000000, 000077, 000003, 000105, 000012, 000000, 000000, 000000, 000000, 000079, 000000, 000001, 000009, 000000, 000000, 000009
חדרה, 006500, 0085.0, 000534, 000340, 000002, 000338, 000055, 000002, 000002, 000000, 000000, 000000, 000026, 000000, 000000, 000000, 000000, 000075, 000012, 000100, 000008, 000000, 000000, 000000, 000000, 000036, 000000, 000001, 000005, 000003, 000000, 000013
חדרה, 006500, 0086.0, 000737, 000569, 000004, 000565, 000064, 000004, 000005, 000000, 000000, 000001, 000087, 000000, 000000, 000000, 000000, 000096, 000008, 000201, 000012, 000000, 000000, 000000, 000000, 000048, 000000, 000000, 000008, 000010, 000000, 000021
חדרה, 006500, 0088.0, 000416, 000258, 000005, 000253, 000034, 000002, 000000, 000000, 000000, 000000, 000011, 000000, 000000, 000000, 000000, 000033, 000072, 000062, 000006, 000000, 000000, 000000, 000000, 000026, 000000, 000000, 000003, 000002, 000000, 000002
חדרה, 006500, 0089.0, 000719, 000392, 000012, 000380, 000013, 000001, 000000, 000000, 000000, 000000, 000011, 000000, 000000, 000000, 000000, 000079, 000071, 000141, 000002, 000000, 000000, 000000, 000000, 000022, 000000, 000001, 000002, 000002, 000001, 000034
חדרה, 006500, 0090.0, 000621, 000424, 000006, 000418, 000094, 000008, 000000, 000000, 000000, 000000, 000027, 000000, 000000, 000000, 000000, 000055, 000021, 000122, 000006, 000000, 000000, 000000, 000000, 000050, 000000, 000001, 000003, 000007, 000002, 000022
חדרה, 006500, 0091.0, 000676, 000442, 000003, 000439, 000099, 000006, 000001, 000000, 000000, 000000, 000035, 000000, 000000, 000000, 000000, 000069, 000024, 000117, 000009, 000000, 000000, 000000, 000000, 000059, 000000, 000000, 000001, 000003, 000001, 000015
חדרה, 006500, 0092.0, 000651, 000354, 000003, 000351, 000029, 000005, 000000, 000000, 000000, 000000, 000012, 000000, 000001, 000000, 000000, 000046, 000098, 000087, 000006, 000001, 000000, 000000, 000000, 000038, 000000, 000000, 000004, 000009, 000002, 000013
חדרה, 006500, 0093.0, 000494, 000278, 000003, 000275, 000042, 000005, 000001, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000000, 000065, 000026, 000074, 000006, 000000, 000000, 000000, 000000, 000028, 000000, 000000, 000004, 000005, 000000, 000015
חדרה, 006500, 0094.0, 000480, 000248, 000005, 000243, 000054, 000001, 000000, 000000, 000000, 000000, 000006, 000000, 000000, 000000, 000000, 000036, 000020, 000078, 000003, 000000, 000000, 000000, 000000, 000027, 000000, 000000, 000006, 000001, 000000, 000011
חדרה, 006500, 0095.0, 000497, 000320, 000006, 000314, 000010, 000003, 000000, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000000, 000081, 000011, 000132, 000002, 000000, 000000, 000000, 000000, 000005, 000000, 000000, 000005, 000005, 000000, 000056
חדרה, 006500, 0096.0, 000430, 000310, 000004, 000306, 000040, 000006, 000000, 000000, 000000, 000000, 000011, 000000, 000000, 000000, 000000, 000044, 000079, 000075, 000003, 000000, 000000, 000000, 000000, 000039, 000000, 000000, 000003, 000004, 000000, 000002
חדרה, 006500, 0097.0, 000580, 000335, 000005, 000330, 000047, 000009, 000000, 000000, 000000, 000000, 000015, 000000, 000000, 000000, 000000, 000055, 000045, 000105, 000003, 000000, 000000, 000000, 000000, 000026, 000000, 000000, 000002, 000003, 000000, 000020
חדרה, 006500, 0098.0, 000608, 000333, 000010, 000323, 000040, 000002, 000002, 000000, 000001, 000000, 000014, 000000, 000000, 000000, 000001, 000052, 000044, 000112, 000003, 000001, 000000, 000000, 000000, 000022, 000000, 000001, 000004, 000001, 000001, 000022
חדרה, 006500, 0099.0, 000616, 000410, 000002, 000408, 000114, 000006, 000002, 000000, 000000, 000000, 000032, 000000, 000000, 000000, 000000, 000055, 000018, 000103, 000011, 000000, 000000, 000000, 000000, 000044, 000000, 000000, 000007, 000003, 000000, 000013
חדרה, 006500, 0100.0, 000768, 000492, 000007, 000485, 000070, 000010, 000000, 000000, 000000, 000000, 000032, 000000, 000000, 000000, 000000, 000072, 000088, 000131, 000004, 000000, 000000, 000000, 000000, 000045, 000000, 000000, 000009, 000006, 000000, 000018
חדרה, 006500, 0101.0, 000762, 000581, 000004, 000577, 000160, 000012, 000000, 000000, 000000, 000000, 000022, 000000, 000000, 000000, 000000, 000070, 000029, 000156, 000011, 000000, 000000, 000000, 000000, 000102, 000000, 000000, 000002, 000006, 000000, 000007
חדרה, 006500, 0102.0, 000543, 000434, 000003, 000431, 000145, 000009, 000002, 000000, 000000, 000000, 000024, 000000, 000000, 000000, 000000, 000043, 000004, 000077, 000040, 000000, 000000, 000000, 000000, 000071, 000000, 000000, 000008, 000002, 000000, 000006
חדרה, 006500, 0103.0, 000758, 000583, 000003, 000580, 000213, 000003, 000004, 000000, 000000, 000000, 000023, 000000, 000000, 000000, 000000, 000047, 000011, 000094, 000046, 000000, 000000, 000000, 000000, 000111, 000000, 000000, 000016, 000002, 000000, 000010
חדרה, 006500, 0104.0, 000768, 000470, 000009, 000461, 000081, 000015, 000000, 000000, 000001, 000000, 000025, 000000, 000000, 000000, 000000, 000089, 000021, 000129, 000011, 000000, 000001, 000001, 000000, 000055, 000000, 000000, 000004, 000005, 000000, 000023
חדרה, 006500, 0105.0, 000688, 000505, 000004, 000501, 000115, 000007, 000011, 000000, 000000, 000001, 000019, 000000, 000000, 000000, 000000, 000078, 000011, 000131, 000018, 000001, 000000, 000000, 000000, 000064, 000000, 000000, 000010, 000007, 000003, 000025
חדרה, 006500, 0106.0, 000529, 000365, 000002, 000363, 000060, 000021, 000024, 000000, 000000, 000000, 000021, 000000, 000000, 000000, 000000, 000044, 000003, 000106, 000004, 000000, 000000, 000000, 000000, 000029, 000000, 000002, 000007, 000011, 000000, 000031
חדרה, 006500, 0107.0, 000491, 000338, 000005, 000333, 000059, 000015, 000000, 000000, 000000, 000000, 000015, 000000, 000000, 000000, 000000, 000046, 000013, 000095, 000004, 000000, 000000, 000000, 000000, 000042, 000000, 000000, 000002, 000003, 000000, 000039
